league,date,game,actual,preLine,delta,confidence,signal,deviation
LCK,2026-05-09,HANJIN BRION vs Nongshim RedForce,19,29.5,0.01,0.848,NEUTRO,-10.5
LCK,2026-05-09,HANJIN BRION vs Nongshim RedForce,31,28.5,-0.05,0.798,NEUTRO,2.5
LCK,2026-05-10,T1 vs Dplus KIA,23,26.5,0.24,0.811,NEUTRO,-3.5
LCK,2026-05-10,T1 vs Dplus KIA,37,25.5,1.05,0.824,OVER,11.5
LCK,2026-05-10,Kiwoom DRX vs Hanwha Life Esports,36,28.5,-0.03,0.835,NEUTRO,7.5
LCK,2026-05-10,Kiwoom DRX vs Hanwha Life Esports,34,28.5,0.26,0.799,NEUTRO,5.5
LCK,2026-05-10,Hanwha Life Esports vs Kiwoom DRX,38,29.5,0.11,0.794,NEUTRO,8.5
LCK,2026-05-13,T1 vs Nongshim RedForce,28,30.5,-1.06,0.867,NEUTRO,-2.5
LCK,2026-05-13,Nongshim RedForce vs T1,37,29.5,-0.36,0.763,NEUTRO,7.5
LCK,2026-05-13,Dplus KIA vs DN SOOPers,23,28.5,-0.37,0.802,NEUTRO,-5.5
LCK,2026-05-13,Dplus KIA vs DN SOOPers,13,27.5,-1.26,0.844,NEUTRO,-14.5
LCK,2026-05-14,BNK FearX vs Gen.G,23,28.5,0.48,0.838,NEUTRO,-5.5
LCK,2026-05-14,BNK FearX vs Gen.G,28,27.5,0.72,0.858,OVER,0.5
LCK,2026-05-14,Kiwoom DRX vs KT Rolster,26,28.5,-0.04,0.872,NEUTRO,-2.5
LCK,2026-05-14,KT Rolster vs Kiwoom DRX,33,28.5,0.16,0.849,NEUTRO,4.5
LCK,2026-05-14,Kiwoom DRX vs KT Rolster,38,28.5,0.69,0.762,OVER,9.5
LCK,2026-05-15,Hanwha Life Esports vs Dplus KIA,40,29.5,-0.59,0.823,NEUTRO,10.5
LCK,2026-05-15,Hanwha Life Esports vs Dplus KIA,23,29.5,-0.16,0.839,NEUTRO,-6.5
LCK,2026-05-15,HANJIN BRION vs DN SOOPers,29,28.5,-0.58,0.859,NEUTRO,0.5
LCK,2026-05-15,DN SOOPers vs HANJIN BRION,22,28.5,0.36,0.836,NEUTRO,-6.5
LCK,2026-05-16,Gen.G vs T1,33,28.5,-0.91,0.848,NEUTRO,4.5
LCK,2026-05-16,T1 vs Gen.G,48,28.5,0.52,0.803,OVER,19.5
LCK,2026-05-16,T1 vs Gen.G,46,30.5,-0.58,0.817,NEUTRO,15.5
LCK,2026-05-16,BNK FearX vs Nongshim RedForce,34,31.5,-1.96,0.875,NEUTRO,2.5
LCK,2026-05-16,BNK FearX vs Nongshim RedForce,26,31.5,-0.97,0.797,NEUTRO,-5.5
LCK,2026-05-17,KT Rolster vs Hanwha Life Esports,38,31.5,-0.87,0.833,NEUTRO,6.5
LCK,2026-05-17,KT Rolster vs Hanwha Life Esports,30,33.5,-0.68,0.84,NEUTRO,-3.5
LCK,2026-05-17,KT Rolster vs Hanwha Life Esports,25,32.5,-1.32,0.764,NEUTRO,-7.5
LCK,2026-05-17,HANJIN BRION vs Kiwoom DRX,38,32.5,-1.05,0.863,NEUTRO,5.5
LCK,2026-05-17,HANJIN BRION vs Kiwoom DRX,17,33.5,-0.83,0.856,NEUTRO,-16.5
LCK,2026-05-17,Kiwoom DRX vs HANJIN BRION,35,31.5,-0.52,0.82,NEUTRO,3.5
LCK,2026-05-20,T1 vs Kiwoom DRX,29,33.5,-0.53,0.84,NEUTRO,-4.5
LCK,2026-05-20,T1 vs Kiwoom DRX,34,32.5,-0.31,0.776,NEUTRO,1.5
LCK,2026-05-20,Kiwoom DRX vs T1,31,33.5,-0.38,0.799,NEUTRO,-2.5
LCK,2026-05-20,Nongshim RedForce vs KT Rolster,25,32.5,-0.67,0.851,NEUTRO,-7.5
LCK,2026-05-20,KT Rolster vs Nongshim RedForce,30,31.5,-1.16,0.878,NEUTRO,-1.5
LCK,2026-05-20,KT Rolster vs Nongshim RedForce,33,31.5,-0.7,0.814,NEUTRO,1.5
LCK,2026-05-21,BNK FearX vs Hanwha Life Esports,44,30.5,-0.37,0.831,NEUTRO,13.5
LCK,2026-05-21,Hanwha Life Esports vs BNK FearX,21,31.5,-1.85,0.837,NEUTRO,-10.5
LCK,2026-05-21,Dplus KIA vs HANJIN BRION,33,28.5,-0.65,0.863,NEUTRO,4.5
LCK,2026-05-21,HANJIN BRION vs Dplus KIA,18,29.5,-0.37,0.851,NEUTRO,-11.5
LCK,2026-05-21,HANJIN BRION vs Dplus KIA,20,28.5,-0.17,0.845,NEUTRO,-8.5
LCK,2026-05-22,DN SOOPers vs Kiwoom DRX,22,28.5,-0.13,0.834,NEUTRO,-6.5
LCK,2026-05-22,Kiwoom DRX vs DN SOOPers,28,27.5,0.5,0.857,OVER,0.5
LCK,2026-05-22,KT Rolster vs Gen.G,17,29.5,0.2,0.864,NEUTRO,-12.5
LCK,2026-05-22,KT Rolster vs Gen.G,28,28.5,0.44,0.836,NEUTRO,-0.5
LCK,2026-05-23,Dplus KIA vs BNK FearX,16,26.5,0.01,0.872,NEUTRO,-10.5
LCK,2026-05-23,BNK FearX vs Dplus KIA,37,25.5,0.76,0.87,OVER,11.5
LCK,2026-05-23,Dplus KIA vs BNK FearX,24,26.5,0.72,0.819,OVER,-2.5
LCK,2026-05-23,Hanwha Life Esports vs Nongshim RedForce,43,28.5,0.79,0.865,OVER,14.5
LCK,2026-05-23,Nongshim RedForce vs Hanwha Life Esports,54,29.5,0.49,0.852,NEUTRO,24.5
LCK,2026-05-23,Hanwha Life Esports vs Nongshim RedForce,36,31.5,-1.3,0.878,NEUTRO,4.5
LCK,2026-05-24,Gen.G vs DN SOOPers,25,29.5,-1.05,0.866,NEUTRO,-4.5
LCK,2026-05-24,Gen.G vs DN SOOPers,20,28.5,-0.65,0.815,NEUTRO,-8.5
LCK,2026-05-24,T1 vs HANJIN BRION,18,29.5,0.39,0.837,NEUTRO,-11.5
LCK,2026-05-24,T1 vs HANJIN BRION,29,27.5,-0.72,0.89,NEUTRO,1.5
LCKCL,2026-05-08,HANJIN BRION Challengers vs DN SOOPers Challengers,19,30.5,0,0.908,NEUTRO,-11.5
LCKCL,2026-05-08,HANJIN BRION Challengers vs DN SOOPers Challengers,22,29.5,-0.13,0.846,NEUTRO,-7.5
LCKCL,2026-05-08,HANJIN BRION Challengers vs DN SOOPers Challengers,25,28.5,1.84,0.889,NEUTRO,-3.5
LCKCL,2026-05-11,Nongshim Esports Academy vs KRX Challengers,27,28.5,0.7,0.918,NEUTRO,-1.5
LCKCL,2026-05-11,KRX Challengers vs Nongshim Esports Academy,33,28.5,2.22,0.866,NEUTRO,4.5
LCKCL,2026-05-11,Nongshim Esports Academy vs KRX Challengers,25,28.5,0.17,0.831,NEUTRO,-3.5
LCKCL,2026-05-11,Gen.G Global Academy vs T1 Esports Academy,30,29.5,2.3,0.897,NEUTRO,0.5
LCKCL,2026-05-11,T1 Esports Academy vs Gen.G Global Academy,31,29.5,1.01,0.912,NEUTRO,1.5
LCKCL,2026-05-11,DN SOOPers Challengers vs BNK FEARX Youth,20,27.5,0.54,0.919,NEUTRO,-7.5
LCKCL,2026-05-11,DN SOOPers Challengers vs BNK FEARX Youth,43,26.5,1.42,0.868,NEUTRO,16.5
LCKCL,2026-05-12,KT Rolster Challengers vs Hanwha Life Esports Challengers,42,27.5,1.33,0.905,NEUTRO,14.5
LCKCL,2026-05-12,KT Rolster Challengers vs Hanwha Life Esports Challengers,27,28.5,0.95,0.903,NEUTRO,-1.5
LCKCL,2026-05-12,Dplus KIA Challengers vs HANJIN BRION Challengers,15,27.5,0.49,0.896,NEUTRO,-12.5
LCKCL,2026-05-12,HANJIN BRION Challengers vs Dplus KIA Challengers,23,26.5,1.9,0.913,NEUTRO,-3.5
LCKCL,2026-05-14,KT Rolster Challengers vs HANJIN BRION Challengers,30,26.5,1.62,0.917,NEUTRO,3.5
LCKCL,2026-05-14,HANJIN BRION Challengers vs KT Rolster Challengers,23,26.5,2.16,0.887,NEUTRO,-3.5
LCKCL,2026-05-14,HANJIN BRION Challengers vs KT Rolster Challengers,26,26.5,0.37,0.884,NEUTRO,-0.5
LCKCL,2026-05-14,Dplus KIA Challengers vs BNK FEARX Youth,30,26.5,1.42,0.907,NEUTRO,3.5
LCKCL,2026-05-14,BNK FEARX Youth vs Dplus KIA Challengers,17,27.5,2.29,0.907,NEUTRO,-10.5
LCKCL,2026-05-14,Dplus KIA Challengers vs BNK FEARX Youth,25,25.5,1.08,0.825,NEUTRO,-0.5
LCKCL,2026-05-14,DN SOOPers Challengers vs T1 Esports Academy,44,26.5,1.67,0.876,NEUTRO,17.5
LCKCL,2026-05-14,DN SOOPers Challengers vs T1 Esports Academy,37,27.5,2.47,0.909,NEUTRO,9.5
LCKCL,2026-05-14,DN SOOPers Challengers vs T1 Esports Academy,39,28.5,-0.01,0.883,NEUTRO,10.5
LCKCL,2026-05-15,Gen.G Global Academy vs KRX Challengers,18,28.5,0.77,0.91,NEUTRO,-10.5
LCKCL,2026-05-15,Gen.G Global Academy vs KRX Challengers,23,27.5,1.64,0.902,NEUTRO,-4.5
LCKCL,2026-05-15,Nongshim Esports Academy vs Hanwha Life Esports Challengers,25,26.5,1.54,0.917,NEUTRO,-1.5
LCKCL,2026-05-15,Nongshim Esports Academy vs Hanwha Life Esports Challengers,29,25.5,0.9,0.901,NEUTRO,3.5
LCKCL,2026-05-15,Hanwha Life Esports Challengers vs Nongshim Esports Academy,30,25.5,1.84,0.861,NEUTRO,4.5
LCKCL,2026-05-18,Dplus KIA Challengers vs T1 Esports Academy,29,27.5,2.39,0.898,NEUTRO,1.5
LCKCL,2026-05-18,T1 Esports Academy vs Dplus KIA Challengers,42,27.5,1.1,0.896,NEUTRO,14.5
LCKCL,2026-05-18,DN SOOPers Challengers vs KRX Challengers,21,27.5,0.25,0.881,NEUTRO,-6.5
LCKCL,2026-05-18,DN SOOPers Challengers vs KRX Challengers,25,27.5,2.27,0.886,NEUTRO,-2.5
LCKCL,2026-05-18,KRX Challengers vs DN SOOPers Challengers,10,26.5,1.16,0.917,NEUTRO,-16.5
LCKCL,2026-05-18,Gen.G Global Academy vs Hanwha Life Esports Challengers,39,26.5,3.24,0.91,NEUTRO,12.5
LCKCL,2026-05-18,Hanwha Life Esports Challengers vs Gen.G Global Academy,67,28.5,3.51,0.904,NEUTRO,38.5
LCKCL,2026-05-19,BNK FEARX Youth vs HANJIN BRION Challengers,27,29.5,-0.4,0.9,NEUTRO,-2.5
LCKCL,2026-05-19,HANJIN BRION Challengers vs BNK FEARX Youth,43,28.5,0.92,0.897,NEUTRO,14.5
LCKCL,2026-05-19,KT Rolster Challengers vs Nongshim Esports Academy,37,30.5,-1.13,0.917,NEUTRO,6.5
LCKCL,2026-05-19,Nongshim Esports Academy vs KT Rolster Challengers,38,30.5,-0.28,0.9,NEUTRO,7.5
LCKCL,2026-05-19,KT Rolster Challengers vs Nongshim Esports Academy,30,31.5,-0.11,0.882,NEUTRO,-1.5
LCKCL,2026-05-21,Dplus KIA Challengers vs KRX Challengers,21,29.5,-0.19,0.903,NEUTRO,-8.5
LCKCL,2026-05-21,Dplus KIA Challengers vs KRX Challengers,24,28.5,-0.08,0.882,NEUTRO,-4.5
LCKCL,2026-05-21,DN SOOPers Challengers vs Hanwha Life Esports Challengers,26,30.5,-0.6,0.91,NEUTRO,-4.5
LCKCL,2026-05-21,DN SOOPers Challengers vs Hanwha Life Esports Challengers,19,29.5,1.29,0.911,NEUTRO,-10.5
LCKCL,2026-05-21,Gen.G Global Academy vs Nongshim Esports Academy,24,30.5,0.74,0.915,NEUTRO,-6.5
LCKCL,2026-05-21,Nongshim Esports Academy vs Gen.G Global Academy,54,29.5,1.45,0.912,NEUTRO,24.5
LCKCL,2026-05-22,BNK FEARX Youth vs KT Rolster Challengers,37,30.5,-0.5,0.925,NEUTRO,6.5
LCKCL,2026-05-22,KT Rolster Challengers vs BNK FEARX Youth,51,31.5,-0.12,0.905,NEUTRO,19.5
LCKCL,2026-05-22,BNK FEARX Youth vs KT Rolster Challengers,38,35.5,-0.01,0.885,NEUTRO,2.5
LCKCL,2026-05-22,HANJIN BRION Challengers vs T1 Esports Academy,31,34.5,-0.82,0.891,NEUTRO,-3.5
LCKCL,2026-05-22,HANJIN BRION Challengers vs T1 Esports Academy,46,32.5,-1.12,0.904,NEUTRO,13.5
LCKCL,2026-05-25,Hanwha Life Esports Challengers vs Dplus KIA Challengers,24,32.5,-1.81,0.902,NEUTRO,-8.5
LCKCL,2026-05-25,Dplus KIA Challengers vs Hanwha Life Esports Challengers,43,30.5,-0.59,0.89,NEUTRO,12.5
LCKCL,2026-05-25,T1 Esports Academy vs BNK FEARX Youth,34,34.5,-1.5,0.908,NEUTRO,-0.5
LCKCL,2026-05-25,BNK FEARX Youth vs T1 Esports Academy,28,33.5,-1.56,0.903,NEUTRO,-5.5
LCKCL,2026-05-25,T1 Esports Academy vs BNK FEARX Youth,25,33.5,-0.67,0.89,NEUTRO,-8.5
LCKCL,2026-05-25,HANJIN BRION Challengers vs KRX Challengers,17,30.5,-0.21,0.874,NEUTRO,-13.5
LCKCL,2026-05-25,HANJIN BRION Challengers vs KRX Challengers,26,28.5,-0.21,0.919,NEUTRO,-2.5
LCKCL,2026-05-26,KT Rolster Challengers vs Gen.G Global Academy,25,32.5,0.3,0.904,NEUTRO,-7.5
LCKCL,2026-05-26,KT Rolster Challengers vs Gen.G Global Academy,48,32.5,0.55,0.913,NEUTRO,15.5
LPL,2026-05-08,JD Gaming vs Bilibili Gaming,35,25.5,1.09,0.852,OVER,9.5
LPL,2026-05-09,Invictus Gaming vs Ninjas in Pyjamas,24,25.5,1.64,0.88,OVER,-1.5
LPL,2026-05-09,Ninjas in Pyjamas vs Invictus Gaming,27,25.5,1.07,0.895,OVER,1.5
LPL,2026-05-09,Team WE vs Top Esports,32,26.5,1.44,0.898,OVER,5.5
LPL,2026-05-09,Team WE vs Top Esports,21,26.5,-0.09,0.896,NEUTRO,-5.5
LPL,2026-05-10,Ninjas in Pyjamas vs Weibo Gaming,33,25.5,-0.15,0.867,NEUTRO,7.5
LPL,2026-05-10,Weibo Gaming vs Ninjas in Pyjamas,33,26.5,0.76,0.897,NEUTRO,6.5
LPL,2026-05-10,JD Gaming vs Anyone s Legend,29,26.5,0.44,0.88,NEUTRO,2.5
LPL,2026-05-10,Anyone s Legend vs JD Gaming,16,26.5,0.64,0.89,NEUTRO,-10.5
LPL,2026-05-10,JD Gaming vs Anyone s Legend,20,25.5,1.15,0.832,OVER,-5.5
LPL,2026-05-12,Ninjas in Pyjamas vs Top Esports,20,25.5,0.33,0.89,NEUTRO,-5.5
LPL,2026-05-12,Ninjas in Pyjamas vs Top Esports,24,24.5,1.5,0.899,OVER,-0.5
LPL,2026-05-12,Top Esports vs Ninjas in Pyjamas,31,24.5,1.48,0.865,OVER,6.5
LPL,2026-05-12,Bilibili Gaming vs Invictus Gaming,32,25.5,0.04,0.892,NEUTRO,6.5
LPL,2026-05-12,Invictus Gaming vs Bilibili Gaming,42,26.5,1.69,0.906,OVER,15.5
LPL,2026-05-12,Bilibili Gaming vs Invictus Gaming,31,28.5,0.3,0.87,NEUTRO,2.5
LPL,2026-05-13,EDward Gaming vs Oh My God,18,25.5,-0.2,0.9,NEUTRO,-7.5
LPL,2026-05-13,EDward Gaming vs Oh My God,23,24.5,0.59,0.9,NEUTRO,-1.5
LPL,2026-05-13,Oh My God vs EDward Gaming,22,23.5,1.7,0.882,OVER,-1.5
LPL,2026-05-13,Anyone s Legend vs Team WE,14,24.5,1.01,0.88,OVER,-10.5
LPL,2026-05-13,Anyone s Legend vs Team WE,27,23.5,1.12,0.895,OVER,3.5
LPL,2026-05-13,Anyone s Legend vs Team WE,40,23.5,1.36,0.866,OVER,16.5
LPL,2026-05-14,LNG Esports vs LGD Gaming,21,24.5,0.83,0.884,NEUTRO,-3.5
LPL,2026-05-14,LNG Esports vs LGD Gaming,32,23.5,-0.55,0.886,NEUTRO,8.5
LPL,2026-05-14,JD Gaming vs Weibo Gaming,24,25.5,1.26,0.902,OVER,-1.5
LPL,2026-05-14,Weibo Gaming vs JD Gaming,19,25.5,0.57,0.902,NEUTRO,-6.5
LPL,2026-05-14,JD Gaming vs Weibo Gaming,17,24.5,1.12,0.876,OVER,-7.5
LPL,2026-05-15,Ultra Prime vs Oh My God,26,23.5,2.22,0.92,OVER,2.5
LPL,2026-05-15,Ultra Prime vs Oh My God,24,23.5,0.77,0.896,NEUTRO,0.5
LPL,2026-05-15,Top Esports vs Bilibili Gaming,50,25.5,2.1,0.882,OVER,24.5
LPL,2026-05-15,Bilibili Gaming vs Top Esports,32,27.5,-0.39,0.911,NEUTRO,4.5
LPL,2026-05-16,ThunderTalk Gaming vs EDward Gaming,25,25.5,0.61,0.903,NEUTRO,-0.5
LPL,2026-05-16,ThunderTalk Gaming vs EDward Gaming,20,25.5,0.58,0.906,NEUTRO,-5.5
LPL,2026-05-16,EDward Gaming vs ThunderTalk Gaming,43,24.5,1.16,0.859,OVER,18.5
LPL,2026-05-16,Team WE vs Ninjas in Pyjamas,38,26.5,-0.01,0.913,NEUTRO,11.5
